aatrox,1370044800.0
ahri,1322697600.0
akali,1272672000.0
alistar,1233446400.0
amumu,1243814400.0
anivia,1246406400.0
annie,1233446400.0
ashe,1233446400.0
aurelionsol,1456790400.0
azir,1409529600.0
bard,1425168000.0
blitzcrank,1251763200.0
brand,1301616000.0
braum,1398902400.0
caitlyn,1293840000.0
camille,1480550400.0
cassiopeia,1291161600.0
chogath,1243814400.0
corki,1251763200.0
darius,1335830400.0
diana,1343779200.0
draven,1338508800.0
drmundo,1251763200.0
ekko,1430438400.0
elise,1349049600.0
evelynn,1241136000.0
ezreal,1267401600.0
fiddlesticks,1233446400.0
fiora,1328054400.0
fizz,1320105600.0
galio,1280620800.0
gangplank,1249084800.0
garen,1270080000.0
gnar,1406851200.0
gragas,1264982400.0
graves,1317427200.0
hecarim,1333238400.0
heimerdinger,1254355200.0
illaoi,1446336000.0
irelia,1288569600.0
ivern,1475280000.0
janna,1251763200.0
jarvaniv,1298937600.0
jax,1233446400.0
jayce,1341100800.0
jhin,1451606400.0
jinx,1380585600.0
kalista,1414800000.0
karma,1296518400.0
karthus,1243814400.0
kassadin,1249084800.0
katarina,1251763200.0
kayle,1233446400.0
kennen,1270080000.0
khazix,1346457600.0
kindred,1441065600.0
kled,1470009600.0
kogmaw,1275350400.0
leblanc,1288569600.0
leesin,1270080000.0
leona,1309478400.0
lissandra,1364774400.0
lucian,1375315200.0
lulu,1330560000.0
lux,1285891200.0
malphite,1251763200.0
malzahar,1275350400.0
maokai,1296518400.0
masteryi,1233446400.0
missfortune,1283299200.0
mordekaiser,1264982400.0
morgana,1233446400.0
nami,1354320000.0
nasus,1254355200.0
nautilus,1328054400.0
nidalee,1259625600.0
nocturne,1298937600.0
nunu,1233446400.0
olaf,1275350400.0
orianna,1306886400.0
pantheon,1264982400.0
poppy,1262304000.0
quinn,1362096000.0
rammus,1246406400.0
reksai,1417392000.0
renekton,1293840000.0
rengar,1343779200.0
riven,1314835200.0
rumble,1301616000.0
ryze,1233446400.0
sejuani,1325376000.0
shaco,1254355200.0
shen,1267401600.0
shyvana,1320105600.0
singed,1238544000.0
sion,1233446400.0
sivir,1233446400.0
skarner,1312156800.0
sona,1283299200.0
soraka,1233446400.0
swain,1285891200.0
syndra,1346457600.0
tahmkench,1435708800.0
taliyah,1462060800.0
talon,1312156800.0
taric,1249084800.0
teemo,1233446400.0
thresh,1356998400.0
tristana,1233446400.0
trundle,1291161600.0
tryndamere,1241136000.0
twistedfate,1233446400.0
twitch,1241136000.0
udyr,1259625600.0
urgot,1280620800.0
varus,1335830400.0
vayne,1304208000.0
veigar,1246406400.0
velkoz,1391212800.0
vi,1354320000.0
viktor,1322697600.0
vladimir,1277942400.0
volibear,1320105600.0
warwick,1233446400.0
xerath,1317427200.0
xinzhao,1277942400.0
yasuo,1385856000.0
yorick,1306886400.0
zac,1362096000.0
zed,1351728000.0
ziggs,1328054400.0
zilean,1238544000.0
zyra,1341100800.0
